date,allGradesGasPrice,regularGasPrice,midgradeGasPrice,premiumGasPrice
11/16/2009,2.59,2.55,2.66,2.77
03/23/2009,1.93,1.89,2.00,2.11
01/31/2005,1.87,1.83,1.94,2.04
03/04/2013,3.62,3.58,3.70,3.82
09/15/2003,1.71,1.67,1.78,1.88
12/19/2016,2.20,2.09,2.36,2.62
06/05/2006,2.82,2.78,2.88,2.98
10/02/2006,2.59,2.55,2.66,2.76
04/12/2010,2.76,2.72,2.83,2.94
02/26/2018,2.50,2.39,2.67,2.95
10/30/2006,2.25,2.21,2.32,2.42
06/29/2009,2.58,2.53,2.64,2.75
04/22/2019,2.81,2.70,2.97,3.25
07/21/2003,1.52,1.48,1.59,1.68
10/04/2004,1.97,1.93,2.04,2.14
05/29/2017,2.45,2.34,2.61,2.87
01/30/2017,2.29,2.18,2.46,2.72
06/16/2014,3.54,3.48,3.64,3.79
02/09/2004,1.57,1.53,1.64,1.74
02/02/2004,1.58,1.53,1.64,1.74
10/12/2015,2.42,2.33,2.57,2.79
06/27/2016,2.35,2.25,2.50,2.75
06/15/2009,2.58,2.54,2.65,2.76
01/09/2012,3.08,3.03,3.15,3.26
04/24/2006,2.87,2.82,2.93,3.03
01/27/2014,3.24,3.18,3.32,3.47
05/03/2010,2.77,2.73,2.84,2.95
03/25/2019,2.53,2.42,2.69,2.98
07/07/2014,3.66,3.60,3.76,3.91
08/03/2009,2.50,2.46,2.57,2.68
02/25/2013,3.64,3.59,3.71,3.84
03/03/2008,3.10,3.05,3.17,3.28
03/05/2018,2.48,2.37,2.64,2.92
10/20/2014,3.22,3.15,3.32,3.48
12/30/2013,3.18,3.13,3.27,3.41
04/05/2004,1.81,1.77,1.88,1.97
06/16/2008,4.00,3.96,4.07,4.18
01/18/2010,2.62,2.58,2.69,2.80
01/07/2013,2.96,2.91,3.03,3.14
05/06/2013,3.61,3.56,3.68,3.80
11/14/2011,3.48,3.43,3.55,3.66
06/20/2005,2.14,2.09,2.20,2.30
07/28/2003,1.57,1.53,1.64,1.74
11/20/2000,1.59,1.55,1.67,1.77
06/03/2013,3.82,3.78,3.90,4.02
03/07/2005,2.03,1.99,2.10,2.20
